utterance,hedge,L_context1,L_context2,R_context1,function,ID
Rhodes ? I do n't I do n't know if you saw it in Bristol but her father bought her a statue a quite a big statue right of a dog in sort of Edwardian dress no stand up stood up as a sort of a like a a gentlemen I can pi I can picture it some phone's ringing somewhere it 's your phone,sort,NN,IN,JJ,propositional,S0369_2014
bit are your tonsils ? I never know you can see them if you look down your throat and you can see them when they 're swollen cos they sort of like lift up I obviously ca n't look down my throat obviously then you try yeah you look in a mirror with a torch and you go and then you,sort,NN,PP,IN,pragmatic marker,S0369_2014
the VLE the virtual learning environment mm okay maybe maybe it was that er they use it a lot in universities it seemed like a sort of yes cos he was saying that you could carry on and using the my issue again with things like you 've got somebody coming for a week,sort,IN,DT,UH,propositional,S0370_2014
it was really oh really so it 's like a young playgroup ? no not a well they 're all toddlers they 're all about they re all sort of between a year and two and a half three ? cos yeah a couple that are siblings that come so there 's a couple of older erm kids that come,sort,VBP,DT,IN,propositional,S0382_2014
I agree with them yeah exactly that 's what I was thinking and she was saying that 's what all the research showed so they do sort of fairly modern yeah great stuff yeah she said there 's a few of them around who do it erm they all do it independently but quite often get,sort,PP,VVP,RB,pragmatic marker,S0382_2014
your friends are n't talking to us I think we tried oh no no I was like yeah at the start we did but then it 's like once you 've done the sort of oh you alright ? yeah it 's like you it 's very hard to sort of continue on that effort yeah but then cos said she was like no you know,sort,VVN,DT,UH,propositional,S0382_2014
always it 's just s happened why have they all of a sudden started falling out then or not being well a is they 've always had a sort of they they have n't fallen out just like I suppose she 's fed up this is your next mum this is your new mum she tried to er well she is she,sort,VHN,DT,PP,propositional,S0382_2014
just feels like it 's gonna yeah explode yeah yeah so I just like to sit in my own silence and erm yeah well it 's very good it s sort of like meditating in a way is n't it ? erm but it 's I do I love it it 's my way of yeah you know when I suffered with dep well I still do but not as,sort,PP,VBZ,IN,pragmatic marker,S0382_2014
yeah impossible right it was it was impossible it was n't just that some were geographers and some were economists and all that sort of thing it was just it was chalk cheese yeah apples pears apple pears yeah well the the funding body must have gone in with its eyes,sort,PDT,DT,NN,propositional,S0382_2014
then they were moved up higher that was the sort of how high would you go on that kind of I do n't think I material ? I I went any higher than sort of giving seventy-five er how how many seventy-fives did you give ? not possibly sort of er three or four perhaps ? okay not alright sort of okay,sort,JJR,IN,VVG,pragmatic marker,S0382_2014
started cutting down cos you know they 're either yeah they started cutting down into the trunk even then they left it and and they sort of grew big enough that 's they managed to survive yeah I know they 're horrible things are n't they ? was n't that the wood is the the,sort,CC,PP,VVN,pragmatic marker,S0383_2014
go down through the wills yeah you know cos er they all had to have wills and these little documents yeah so you can go back past this sort of this cut of point of whatev whenever it is mm yeah but it 's much more difficult mm and like when you consider most people do n't come,sort,IN,DT,DT,propositional,S0383_2014
I mean ? it 's just miniscule so like the yeah yeah the facial characteristics and like like you ca n't really no mm you ca n't really sort of go by that I mean to a certain extent you can because they 've probably got genes that do n't happen somewhere else you know but,sort,RB,RB,VV,pragmatic marker,S0383_2014
used to mm not having it I must say I 'm the sort of person would never have well she would n't switch a radio on no whereas I m the sort of person that mm you know as soon as I walk in the room you 're lost without it as soon as I walk in the room mm I 'll switch the radio on yeah,sort,VBP,DT,NN,propositional,S0383_2014
is yeah yeah sure fell out badly with her did she ? I did n't realise she only let on a few a little while ago yeah ? you know cos they were sort of like really good mates they were good mates yeah the only reason but apparently there were some some big argument going on about,sort,PP,VBD,IN,pragmatic marker,S0390_2014
I er no the thing is that them ones we had last time they did n't need no looking after no do they ? no whereas you get these these other sort of proper chickens they 're always getting like scabby legs and that 's right yes they are and something else is wrong and yeah mm you know and,sort,DT,JJ,JJ,propositional,S0391_2014
that way yeah probably the first electronic number one yeah probably yeah yeah well it 's strange is n't it when you think it s sort of like steps in yeah human invention yeah you know things what really changed the world and you know like I mean radio erm not radio,sort,PP,VBZ,JJ,pragmatic marker,S0391_2014
then they were talking about the impact on the kids and ho on how these kids with the mum who or the parents who never swear you know sort of gasp if they hear it on the TV yeah or you know it 's funny if people talk about it in the playground yeah and the others they just do,sort,PP,VVP,NN,pragmatic marker,S0392_2014
relaxing yeah sort of driving back you know and the time sort of totally wound up working by the time you got home again you re sort of like okay again you know yeah yeah and er but ai n't like that no she finds driving a you know sort of a chore yeah and she gets bored,sort,PP,VBP,VV,pragmatic marker,S0392_2014
is n't there ? they ca n't do it any more ? no oh no well was saying they 're trying to cut it down oh right and like the people who are sort of started it up and are keen on it I mean you 're talking about fifty thousand around the world yeah members of Wikipedia they sort of do,sort,WP,VBP,VVD,pragmatic marker,S0392_2014
who just sort of looks and thinks a bit oh I see looks roughly but what they do is like all the facts what they like to have is a some sort of reference right yeah cos of the cos everything on there has got a little number by it and then underneath is a massive great where this,sort,DT,DT,NN,propositional,S0392_2014
